driverId,total_laps
1,18407
2,9701
3,11161
4,19879
5,5971
6,1972
7,1276
8,18623
9,5505
10,4749
11,4484
12,1263
13,14854
14,11211
15,12396
16,6022
17,11028
18,16272
19,1061
20,16427
21,11509
22,14463
23,9166
24,3800
25,3471
26,1285
27,2194
28,13
29,818
30,13168
31,4917
32,2331
33,2008
34,145
35,8314
36,240
37,4517
38,553
39,2244
40,412
41,1716
42,857
43,1484
44,5891
45,549
46,736
47,959
48,1738
49,5831
50,3987
51,670
52,639
53,298
54,668
55,4870
56,5523
57,4957
58,932
59,941
60,1047
61,166
62,645
63,4388
64,3082
65,3740
66,639
67,2579
68,1274
69,1042
70,585
71,2977
72,31
73,1076
74,613
75,1493
76,844
77,1582
78,277
79,1252
81,355
82,210
83,646
84,705
85,119
86,139
153,2361
154,8848
155,3557
807,9985
808,2991
810,766
811,2196
812,533
813,4507
814,3284
815,13734
816,1043
817,12831
818,2995
819,2029
820,1874
821,3055
822,11990
823,931
824,1754
825,8182
826,5830
827,1
828,4901
829,926
830,9328
831,2224
832,9233
833,737
834,302
835,1682
836,1996
837,611
838,2207
839,6527
840,7270
841,3416
842,6441
843,1178
844,6018
845,1118
846,5313
847,5139
848,3985
849,3261
850,140
851,87
852,2899
853,1008
854,2277
855,1764
856,614
857,632
858,649
